LCT_Connections,Category,Type,Import,Export,LicenceArea,FunctionalLocation,SecondarySubstationAlias,Status,Primary_FunctionalLocation,PrimaryFeeder,Latitude,Longitude,geopoint,LocalAuthority
12,Generation,Solar PV,0,41,Eastern Power Networks (EPN),EPN-S0000008U7457,8U7457,Connected,EPN-S0000000H8127,J57 SOUTH HITCHIN PRIMARY,,,"51.9449841608536, -0.260791220934869",North Hertfordshire District
7,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000004U1313,4U1313,Connected,EPN-S0000000F4068,B59 HUNTINGDON GRID,,,"52.3234020978385, -0.218776143569083",Huntingdonshire District
18,Generation,Solar PV,0,79,Eastern Power Networks (EPN),EPN-S0000004U1514,4U1514,Connected,EPN-S0000000H4053,B60 SANDY PRIMARY,,,"52.1313343962927, -0.221576139423955",Central Bedfordshire
19,Generation,Solar PV,0,78,Eastern Power Networks (EPN),EPN-S0000005U0348,5U0348,Connected,EPN-S0000000H5036,H07 MARTHAM PRIMARY,,,"52.7065215852642, 1.63446073581395",Great Yarmouth District (B)
11,Generation,Solar PV,0,36,Eastern Power Networks (EPN),EPN-S0000005U4069,5U4069,Connected,EPN-S0000000H5065,L40 EARLHAM GRID LOCAL,,,"52.6377029159737, 1.22319025534049",Norwich District (B)
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000008U3583,8U3583,Connected,EPN-S0000000H8093,F07 FROGMORE PRIMARY,,,"51.7366266138876, -0.461442178276584",Dacorum District (B)
6,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000003U0417,3U0417,Connected,EPN-S0000000H3071,A18 BURNHAM PRIMARY,,,"51.6249238898558, 0.821098545296814",Maldon District (B)
7,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000007U6227,7U6227,Connected,EPN-S0000000H7044,K08 HIGH ST PRIMARY,,,"51.6163537626956, 0.279103048597503",Brentwood District (B)
6,Generation,Solar PV,0,17,Eastern Power Networks (EPN),EPN-S0000001U2004,1U2004,Connected,EPN-S0000000H1049,D15 ROUNDWOOD RD PRIMARY,,,"52.061142719917, 1.17279767424165",Ipswich District (B)
7,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000008U5538,8U5538,Connected,EPN-S0000000H8033,F49 HEMEL EAST PRIMARY,,,"51.749767238858, -0.448540371575184",Dacorum District (B)
73,Generation,Solar PV,0,161,Eastern Power Networks (EPN),EPN-S0000004U0179,4U0179,Connected,EPN-S0000000H4070,E73 MADINGLEY RD PRIMARY,,,"52.2081774920219, 0.0571382461167119",South Cambridgeshire District
9,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000005U3848,5U3848,Connected,EPN-S0000000H5074,L33 BEIGHTON PRIMARY,,,"52.6414781765954, 1.5513133290073",Broadland District
11,Generation,Solar PV,0,41,Eastern Power Networks (EPN),EPN-S0000001U2160,1U2160,Connected,EPN-S0000000H1049,D15 ROUNDWOOD RD PRIMARY,,,"52.0677253759224, 1.21596548356885",East Suffolk District
8,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000004U0629,4U0629,Connected,EPN-S0000000H4051,B43 MANTON LN PRIMARY,,,"52.1661022798797, -0.497208789413754",Bedford (B)
6,Generation,Solar PV,0,16,Eastern Power Networks (EPN),EPN-S0000007U3295,7U3295,Connected,EPN-S0000000H7115,F27 SOUTH HARLOW PRIMARY,,,"51.7471420358747, 0.0983829297952839",Harlow District
9,Generation,Solar PV,0,27,Eastern Power Networks (EPN),EPN-S0000003U0679,3U0679,Connected,EPN-S0000000H3019,A30 HALSTEAD PRIMARY,,,"51.9451808903716, 0.630927481981975",Braintree District
9,Generation,Solar PV,0,32,Eastern Power Networks (EPN),EPN-S0000008U5837,8U5837,Connected,EPN-S0000000H8133,J11 EAST LETCHWORTH PRIMARY,,,"51.9717133447037, -0.221030717723948",North Hertfordshire District
12,Generation,Solar PV,0,33,Eastern Power Networks (EPN),EPN-S0000003U2562,3U2562,Connected,EPN-S0000000H3020,J41 PARSONS HEATH PRIMARY,,,"51.9118412161178, 0.924110063316224",Colchester District (B)
12,Generation,Solar PV,0,40,Eastern Power Networks (EPN),EPN-S0000006U1109,6U1109,Connected,EPN-S0000000H6029,C18 MARCH PRIMARY,,,"52.5651260661468, 0.0958575499618271",Fenland District
31,Generation,Solar PV,0,107,Eastern Power Networks (EPN),EPN-S0000005U2442,5U2442,Connected,EPN-S0000000H5045,L09 HEMBLINGTON PRIMARY,,,"52.6283169315474, 1.43065853366757",Broadland District
9,Generation,Solar PV,0,28,Eastern Power Networks (EPN),EPN-S0000007U2140,7U2140,Connected,EPN-S0000000H7054,C42 UPLANDS PK PRIMARY,,,"51.6020930176457, 0.650151638496757",Rochford District
7,Generation,Solar PV,0,28,Eastern Power Networks (EPN),EPN-S0000003U0558,3U0558,Connected,EPN-S0000000H3066,A23 DANBURY PRIMARY,,,"51.684344766321, 0.559224705907265",Chelmsford District (B)
37,Generation,Solar PV,0,109,Eastern Power Networks (EPN),EPN-S0000006U1643,6U1643,Connected,EPN-S0000000H6076,C57 ORTON PRIMARY,,,"52.5439872361061, -0.291959967457041",City of Peterborough (B)
6,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-R00000000J08B-000-043Z,4R1811,Connected,EPN-S0000000H4059,J08 BIGGLESWADE PRIMARY,,,"52.099525404263, -0.284074023563907",Central Bedfordshire
6,Generation,Solar PV,0,18,Eastern Power Networks (EPN),EPN-S0000008U3174,8U3174,Connected,EPN-S0000000H8083,E61 WEST POTTERS BAR PRIMARY,,,"51.6992755349944, -0.185517552812608",Hertsmere District (B)
16,Generation,Solar PV,0,59,Eastern Power Networks (EPN),EPN-S0000005U3435,5U3435,Connected,EPN-S0000000F5014,L23 THORPE LOCAL PRIMARY,,,"52.6336194372574, 1.35050914949515",Broadland District
6,Generation,Solar PV,0,17,Eastern Power Networks (EPN),EPN-S0000007U4463,7U4463,Connected,EPN-S0000000F7030,G23 PALMERS GRN GRID,,,"51.6217566548119, -0.0926965377857775",Enfield London Boro
14,Generation,Solar PV,0,48,Eastern Power Networks (EPN),EPN-S0000006U1055,6U1055,Connected,EPN-S0000000H6053,C17 CHATTERIS PRIMARY,,,"52.4537496031247, 0.0579231746084092",Fenland District
6,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S0000003U0816,3U0816,Connected,EPN-S0000000H3072,A32 INGATESTONE PRIMARY,,,"51.6642847242084, 0.450354687938473",Chelmsford District (B)
6,Generation,Solar PV,0,16,Eastern Power Networks (EPN),EPN-S0000008U3539,8U3539,Connected,EPN-S0000000H8025,F13 BERKHAMSTED PRIMARY,,,"51.7730581069473, -0.59746963379166",Dacorum District (B)
7,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000008U0632,8U0632,Connected,EPN-S0000000H8037,A05 LEIGHTON BUZZARD PRIMARY,,,"51.9294932553655, -0.58140735921868",Central Bedfordshire
22,Generation,Solar PV,0,72,Eastern Power Networks (EPN),EPN-S0000006U1697,6U1697,Connected,EPN-S0000000H6076,C57 ORTON PRIMARY,,,"52.54240197052, -0.286385032093635",City of Peterborough (B)
9,Generation,Solar PV,0,36,Eastern Power Networks (EPN),EPN-S0000005U3877,5U3877,Connected,EPN-S0000000H5085,L34 WESTON LONGVILLE PRIMARY,,,"52.6755338095202, 1.06882319666906",Breckland District
22,Generation,Solar PV,0,78,Eastern Power Networks (EPN),EPN-S0000001U1195,1U1195,Connected,EPN-S0000000H1030,B25 STANTON PRIMARY,,,"52.3565282529203, 0.890393563527089",West Suffolk District
6,Generation,Solar PV,0,18,Eastern Power Networks (EPN),EPN-S0000007U3970,7U3970,Connected,EPN-S0000000H7020,F42 THORLEY PRIMARY,,,"51.8566486520681, 0.146154876875901",East Hertfordshire District
13,Generation,Solar PV,0,37,Eastern Power Networks (EPN),EPN-S0000005U0817,5U0817,Connected,EPN-S0000000H5056,H13 LOWESTOFT GRID,,,"52.4660604970539, 1.74065082607321",East Suffolk District
12,Generation,Solar PV,0,39,Eastern Power Networks (EPN),EPN-S0000003U0771,3U0771,Connected,EPN-S0000000H3072,A32 INGATESTONE PRIMARY,,,"51.6893538060189, 0.417800272739681",Chelmsford District (B)
11,Generation,Solar PV,0,42,Eastern Power Networks (EPN),EPN-S0000006U0114,6U0114,Connected,EPN-S0000000H6030,G51 WATLINGTON PRIMARY,,,"52.7052189269313, 0.462440369512175",King's Lynn and West Norfolk District (B)
9,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000001U0461,1U0461,Connected,EPN-S0000000H1004,B12 ELMSWELL PRIMARY,,,"52.2388755355453, 0.917819771030967",Mid Suffolk District
10,Generation,Solar PV,0,35,Eastern Power Networks (EPN),EPN-R00000000H37C-000-114Z,5R3250,Connected,EPN-S0000000H5032,H37 HALESWORTH PRIMARY,,,"52.3176796201311, 1.55854923662583",East Suffolk District
