LCT_Connections,Category,Type,Import,Export,LicenceArea,FunctionalLocation,SecondarySubstationAlias,Status,Primary_FunctionalLocation,PrimaryFeeder,Latitude,Longitude,geopoint,LocalAuthority
6,Generation,Solar PV,0,30,Eastern Power Networks (EPN),EPN-S0000003U1669,3U1669,Connected,EPN-S0000000H3040,A73 SOUTH WITHAM PRIMARY,,,"51.7796136951796, 0.671651674227635",Maldon District (B)
6,Demand,Heat Pump,15.96,0,South Eastern Power Networks (SPN),SPN-S000000213495,1213495,Connected,SPN-S000000008347,AI8347 SUTTON A 11KV,,,"51.35838711304, -0.168023141329724",Sutton London Boro
22,Generation,Solar PV,0,79,Eastern Power Networks (EPN),EPN-S0000004U3645,4U3645,Connected,EPN-S0000000H4045,E19 SAWSTON PRIMARY,,,"52.1457952531248, 0.14752573601309",South Cambridgeshire District
6,Demand,Heat Pump,33.25,0,South Eastern Power Networks (SPN),SPN-S000000361046,1361046,Connected,SPN-S000000008402,LA8402 ASHFORD EAST 11KV,,,"51.1883657791454, 0.890264085924776",Ashford District (B)
7,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000001U0510,1U0510,Connected,EPN-S0000000H1004,B12 ELMSWELL PRIMARY,,,"52.2262187042915, 0.938600838172616",Mid Suffolk District
13,Demand,Heat Pump,74.3,0,South Eastern Power Networks (SPN),SPN-R000000843906-000-080Z,1504221,Connected,SPN-S000000008439,JF8439 NEWICK 11KV,,,"50.9406664030385, -0.0241337224716771",Lewes District
7,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-R00000000B31A-000-140Z,5R0127,Connected,EPN-S0000000H1033,B31 TIVETSHALL PRIMARY,,,"52.4636912357361, 1.14419833720114",South Norfolk District
23,Demand,Heat Pump,115.57,0,South Eastern Power Networks (SPN),SPN-S000000473919,1473919,Connected,SPN-S000000008330,JF8330 LEWES TOWN 11KV,,,"50.9045248867831, -0.00704571474553833",Lewes District
8,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000004U2285,4U2285,Connected,EPN-S0000000H4007,E02 ELY PRIMARY,,,"52.3868952937262, 0.208300364858341",East Cambridgeshire District
7,Demand,Heat Pump,60.21,0,South Eastern Power Networks (SPN),SPN-S000000524855,1524855,Connected,SPN-S000000008430,JF8430 LEWES CENTRAL 11KV,,,"50.8628291776238, -0.076643530548571",Lewes District
13,Generation,Solar PV,0,27,Eastern Power Networks (EPN),EPN-R00000000E69A-000-134Z,4R4995,Connected,EPN-S0000000H4013,E69 SOHAM PRIMARY,,,"52.3108963929848, 0.309990971588338",East Cambridgeshire District
18,Demand,Heat Pump,91.71,0,South Eastern Power Networks (SPN),SPN-R000000833010-000-079Z,1474268,Connected,SPN-S000000008439,JF8439 NEWICK 11KV,,,"50.927500777051, 0.0191362876787098",Lewes District
6,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-R00000000E01B-000-050Z,4R2786,Connected,EPN-S0000000H4016,E01 ALDRETH PRIMARY,,,"52.3533690998145, 0.169772031543327",East Cambridgeshire District
7,Demand,Heat Pump,43.9,0,South Eastern Power Networks (SPN),SPN-R000000833005-000-148Z,1504116,Connected,SPN-S000000008330,JF8330 LEWES TOWN 11KV,,,"50.9224719787149, -0.04533503829994",Lewes District
12,Generation,Solar PV,0,50,Eastern Power Networks (EPN),EPN-S0000006U2620,6U2620,Connected,EPN-S0000000H6011,G17 WATTON PRIMARY,,,"52.5729533064953, 0.828425281007026",Breckland District
12,Demand,Heat Pump,63.96,0,South Eastern Power Networks (SPN),SPN-R000000846709-000-029Z,1473907,Connected,SPN-S000000008467,JF8467 RIPE 11KV,,,"50.8495148499804, 0.0812316300121753",Lewes District
13,Generation,Solar PV,0,40,Eastern Power Networks (EPN),EPN-S0000008U0816,8U0816,Connected,EPN-S0000000H8076,A12 HOUGHTON REGIS PRIMARY,,,"51.9075437939055, -0.520841857820934",Central Bedfordshire
13,Demand,Heat Pump,41.07,0,South Eastern Power Networks (SPN),SPN-S000000446606,1446606,Connected,SPN-S000000008447,KB8447 NORTH SEVENOAKS,,,"51.3164765413525, 0.152403866402722",Sevenoaks District
24,Generation,Solar PV,0,109,Eastern Power Networks (EPN),EPN-S0000005U2355,5U2355,Connected,EPN-S0000000H5079,L08 HAPTON PRIMARY,,,"52.516131319926, 1.24883284140803",South Norfolk District
7,Demand,Heat Pump,47.65,0,South Eastern Power Networks (SPN),SPN-R000000846709-000-001Z,1474199,Connected,SPN-S000000008467,JF8467 RIPE 11KV,,,"50.8574422556285, 0.069355037119276",Lewes District
19,Generation,Solar PV,0,87,Eastern Power Networks (EPN),EPN-S0000001U1239,1U1239,Connected,EPN-S0000000H1019,B26 SUDBURY PRIMARY,,,"52.0493436425016, 0.731079559719085",Babergh District
6,Demand,Heat Pump,37.2,0,South Eastern Power Networks (SPN),SPN-S000000392212,1392212,Connected,SPN-S000000008414,LA8414 HARRIETSHAM 11KV,,,"51.2083500914287, 0.679057527394801",Maidstone District (B)
8,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000008U6615,8U6615,Connected,EPN-S0000000H8047,J20 ADELAIDE ST PRIMARY,,,"51.7585883187501, -0.314118101660148",St. Albans District (B)
7,Demand,Heat Pump,69.01,0,South Eastern Power Networks (SPN),SPN-S000000371549,1371549,Connected,SPN-S000000008342,CG8342 RICHBOROUGH 11KV,,,"51.2544464980546, 1.28495613744588",Dover District
8,Generation,Solar PV,0,28,Eastern Power Networks (EPN),EPN-S0000003U2953,3U2953,Connected,EPN-S0000000H3021,J47 PELDON PRIMARY,,,"51.7793781995457, 0.900577434428295",Colchester District (B)
6,Demand,Heat Pump,25.2,0,South Eastern Power Networks (SPN),SPN-S000000501823,1501823,Connected,SPN-S000000008415,BD8415 HAYWARDS HEATH 11KV,,,"51.0336807220347, -0.0282915106044977",Mid Sussex District
13,Generation,Solar PV,0,49,Eastern Power Networks (EPN),EPN-S0000006U1781,6U1781,Connected,EPN-S0000000H6015,G05 DOWNHAM MARKET PRIMARY,,,"52.605764114794, 0.386525340920807",King's Lynn and West Norfolk District (B)
8,Demand,Heat Pump,70.57,0,South Eastern Power Networks (SPN),SPN-S000000363765,1363765,Connected,SPN-S000000008304,CA8304 BETTESHANGER LOCAL 11KV,,,"51.1854892170877, 1.37284738771165",Dover District
12,Generation,Solar PV,0,41,Eastern Power Networks (EPN),EPN-S0000006U1791,6U1791,Connected,EPN-S0000000H6015,G05 DOWNHAM MARKET PRIMARY,,,"52.6061687647004, 0.378134781488563",King's Lynn and West Norfolk District (B)
6,Demand,Heat Pump,22.63,0,South Eastern Power Networks (SPN),SPN-S000000471863,1471863,Connected,SPN-S000000008524,JF8524 HORSEBRIDGE 11KV,,,"50.8905646068872, 0.321819821207769",Wealden District
12,Generation,Solar PV,0,41,Eastern Power Networks (EPN),EPN-S0000003U0106,3U0106,Connected,EPN-S0000000H3053,A70 WEST BRAINTREE PRIMARY,,,"51.8763130822544, 0.536641289655773",Braintree District
6,Demand,Heat Pump,24.4,0,South Eastern Power Networks (SPN),SPN-S000000511549,1511549,Connected,SPN-S000000009324,BE9324 HORSHAM GRID 11KV,,,"51.0588881815531, -0.318116882075646",Horsham District
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000003U3002,3U3002,Connected,EPN-S0000000H3027,J48 CLACTON GRID,,,"51.8253202718302, 1.13730503638547",Tendring District
16,Demand,Heat Pump,45.58,0,South Eastern Power Networks (SPN),SPN-S000000362162,1362162,Connected,SPN-S000000008319,LD8319 KERDINGTON 6.6KV,,,"51.1080425416339, 0.813834314530138",Ashford District (B)
6,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S0000004U0609,4U0609,Connected,EPN-S0000000H4051,B43 MANTON LN PRIMARY,,,"52.1430540335444, -0.475668751599546",Bedford (B)
13,Demand,Heat Pump,48.77,0,South Eastern Power Networks (SPN),SPN-S000000212119,1212119,Connected,SPN-S000000008373,AF8373 SUFFOLK ROAD 6.6KV,,,"51.4020063431812, -0.0700241653844233",Croydon London Boro
17,Generation,Solar PV,0,62,Eastern Power Networks (EPN),EPN-S0000004U0110,4U0110,Connected,EPN-S0000000H4020,E72 LANDBEACH PRIMARY,,,"52.2702503300976, 0.186897268030666",South Cambridgeshire District
15,Demand,Heat Pump,53.63,0,South Eastern Power Networks (SPN),SPN-S000000471665,1471665,Connected,SPN-S000000008336,JH8336 NINFIELD LOCAL 11KV,,,"50.8829642044368, 0.426744097954277",Wealden District
12,Generation,Solar PV,0,43,Eastern Power Networks (EPN),EPN-S0000003U0011,3U0011,Connected,EPN-S0000000H3053,A70 WEST BRAINTREE PRIMARY,,,"51.8763585972896, 0.544040370021914",Braintree District
28,Demand,Heat Pump,115.05,0,South Eastern Power Networks (SPN),SPN-S000000471573,1471573,Connected,SPN-S000000008336,JH8336 NINFIELD LOCAL 11KV,,,"50.8892160640935, 0.417583413882197",Wealden District
15,Generation,Solar PV,0,47,Eastern Power Networks (EPN),EPN-S0000008U0524,8U0524,Connected,EPN-S0000000H8037,A05 LEIGHTON BUZZARD PRIMARY,,,"51.9241150279856, -0.65312983010122",Central Bedfordshire
12,Demand,Heat Pump,42.76,0,South Eastern Power Networks (SPN),SPN-S000000444720,1444720,Connected,SPN-S000000008345,JF8345 BUXTED 11KV,,,"50.9655484951104, 0.166527867187426",Wealden District
18,Generation,Solar PV,0,70,Eastern Power Networks (EPN),EPN-S0000005U3687,5U3687,Connected,EPN-S0000000H5040,L26 WYMONDHAM PRIMARY,,,"52.6266216699547, 1.12342821543778",South Norfolk District
6,Demand,Heat Pump,17.04,0,South Eastern Power Networks (SPN),SPN-R000000846908-000-035Z,1361664,Connected,SPN-S000000008469,LD8469 ROMNEY WARREN 11KV,,,"50.9886933511349, 0.89255985571188",Folkestone and Hythe District
9,Generation,Solar PV,0,27,Eastern Power Networks (EPN),EPN-S0000008U6271,8U6271,Connected,EPN-S0000000H8132,J17 EAST HARPENDEN PRIMARY,,,"51.8524933813332, -0.298280683326825",North Hertfordshire District
16,Demand,Heat Pump,80,0,South Eastern Power Networks (SPN),SPN-S000000473613,1473613,Connected,SPN-S000000008476,JJ8476 RYE 11KV,,,"50.9338679035047, 0.804860457643957",Rother District
14,Generation,Solar PV,0,52,Eastern Power Networks (EPN),EPN-S0000005U0846,5U0846,Connected,EPN-S0000000H5056,H13 LOWESTOFT GRID,,,"52.4807236225426, 1.7027437926047",East Suffolk District
13,Demand,Heat Pump,53.68,0,South Eastern Power Networks (SPN),SPN-S000000451388,1451388,Connected,SPN-S000000008360,JD8360 GOUDHURST 11KV,,,"51.1364604177906, 0.434934275833534",Tunbridge Wells District (B)
6,Generation,Solar PV,0,21,Eastern Power Networks (EPN),EPN-S0000003U1694,3U1694,Connected,EPN-S0000000H3054,A55 WITHAM PRIMARY,,,"51.7925330668198, 0.625807142949848",Braintree District
9,Demand,Heat Pump,67.67,0,South Eastern Power Networks (SPN),SPN-S000000474181,1474181,Connected,SPN-S000000008430,JF8430 LEWES CENTRAL 11KV,,,"50.8372707915392, 0.0156082463233078",Lewes District
13,Generation,Solar PV,0,51,Eastern Power Networks (EPN),EPN-S0000005U0996,5U0996,Connected,EPN-S0000000H5026,H14 ALPINGTON PRIMARY,,,"52.5781489064063, 1.45553610667644",South Norfolk District
12,Demand,Heat Pump,57.36,0,South Eastern Power Networks (SPN),SPN-S000000473965,1473965,Connected,SPN-S000000008335,JG8335 NEWHAVEN TOWN 11KV,,,"50.7875824453928, 0.0403882479350824",Lewes District
17,Generation,Solar PV,0,56,Eastern Power Networks (EPN),EPN-S0000007U2075,7U2075,Connected,EPN-S0000000H7079,C48 SOUTHEND WEST PRIMARY,,,"51.5977660161681, 0.655307104363093",Rochford District
7,Demand,Heat Pump,28.87,0,South Eastern Power Networks (SPN),SPN-R000000853106-000-104Z,1362682,Connected,SPN-S000000008531,JJ8531 WITTERSHAM 6.6KV,,,"51.0148685146324, 0.766236113669196",Ashford District (B)
22,Generation,Solar PV,0,137,Eastern Power Networks (EPN),EPN-S0000001U2908,1U2908,Connected,EPN-S0000000H1059,D36 CLAYDON CEMENT PRIMARY,,,"52.1059292277771, 1.11472709439547",Mid Suffolk District
18,Demand,Heat Pump,87.89,0,South Eastern Power Networks (SPN),SPN-R000000833005-000-183Z,1504177,Connected,SPN-S000000008330,JF8330 LEWES TOWN 11KV,,,"50.9315667316804, -0.0601237433414128",Lewes District
9,Generation,Solar PV,0,30,Eastern Power Networks (EPN),EPN-S0000005U0346,5U0346,Connected,EPN-S0000000H5083,H08 ORMESBY PRIMARY,,,"52.6745847673239, 1.69165850072967",Great Yarmouth District (B)
9,Demand,Heat Pump,42.19,0,South Eastern Power Networks (SPN),SPN-S000000474328,1474328,Connected,SPN-S000000008330,JF8330 LEWES TOWN 11KV,,,"50.8824945182277, 0.00879349172365977",Lewes District
7,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000003U3080,3U3080,Connected,EPN-S0000000H3061,J51 FRINTON PRIMARY,,,"51.8481382525178, 1.25625172277969",Tendring District
9,Demand,Heat Pump,41.91,0,South Eastern Power Networks (SPN),SPN-S000000311721,1311721,Connected,SPN-S000000008646,GA8646 LORDSWOOD,,,"51.3366250072582, 0.521166868071534",Tonbridge and Malling District (B)
7,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000007U1435,7U1435,Connected,EPN-S0000000H7009,C33 HAIULT AV PRIMARY,,,"51.599688003336, 0.670433716597992",Rochford District
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000005U3484,5U3484,Connected,EPN-S0000000F5014,L23 THORPE LOCAL PRIMARY,,,"52.6259843470557, 1.3139036822311",Norwich District (B)
8,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000005U1463,5U1463,Connected,EPN-S0000000H5003,H24 BRADWELL PRIMARY,,,"52.5710337418073, 1.7312045069452",Great Yarmouth District (B)
17,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000008U0874,8U0874,Connected,EPN-S0000000H8123,A17 LEWSEY PRIMARY,,,"51.9046878020808, -0.4928137113286",Luton (B)
11,Generation,Solar PV,0,50,Eastern Power Networks (EPN),EPN-S0000008U7545,8U7545,Connected,EPN-S0000000H8041,J58 SHEFFORD PRIMARY,,,"52.0368241707924, -0.303939306721892",Central Bedfordshire
11,Generation,Solar PV,0,39,Eastern Power Networks (EPN),EPN-S0000008U0515,8U0515,Connected,EPN-S0000000H8037,A05 LEIGHTON BUZZARD PRIMARY,,,"51.9229271404378, -0.689104248506801",Central Bedfordshire
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000007U1630,7U1630,Connected,EPN-S0000000H7078,C38 SOUTH BENFLEET PRIMARY,,,"51.5591850909595, 0.56234217650173",Castle Point District (B)
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000005U2634,5U2634,Connected,EPN-S0000000H5006,L10 HORSFORD PRIMARY,,,"52.706577071594, 1.23759199297627",Broadland District
7,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000005U1912,5U1912,Connected,EPN-S0000000H5064,L04 CROMER PRIMARY,,,"52.9324925540573, 1.28367661419135",North Norfolk District
11,Generation,Solar PV,0,44,Eastern Power Networks (EPN),EPN-S0000005U2337,5U2337,Connected,EPN-S0000000H5052,L07 GEORGE HILL PRIMARY,,,"52.6556606378404, 1.32396176786241",Broadland District
44,Generation,Solar PV,0,143,Eastern Power Networks (EPN),EPN-S0000008U2569,8U2569,Connected,EPN-S0000000H8094,E48 HENDON WAY PRIMARY,,,"51.5667575470523, -0.219717727020206",Barnet London Boro
6,Generation,Solar PV,0,17,Eastern Power Networks (EPN),EPN-S0000008U1316,8U1316,Connected,EPN-S0000000H8072,A28 CHAUL END PRIMARY,,,"51.8899715616613, -0.474115273733498",Luton (B)
11,Generation,Solar PV,0,38,Eastern Power Networks (EPN),EPN-S0000001U0754,1U0754,Connected,EPN-S0000000H1054,B18 HADLEIGH PRIMARY,,,"52.0391682429384, 0.95901662730983",Babergh District
14,Generation,Solar PV,0,47,Eastern Power Networks (EPN),EPN-S0000008U0598,8U0598,Connected,EPN-S0000000H8037,A05 LEIGHTON BUZZARD PRIMARY,,,"51.9110848855317, -0.670958718275962",Central Bedfordshire
115,Generation,Solar PV,0,348,Eastern Power Networks (EPN),EPN-S0000001U2219,1U2219,Connected,EPN-S0000000H1024,D18 IPSWICH GRID,,,"52.0494815335799, 1.13134375824404",Ipswich District (B)
7,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-S0000008U0896,8U0896,Connected,EPN-S0000000H8123,A17 LEWSEY PRIMARY,,,"51.9108541365663, -0.503824978707172",Central Bedfordshire
14,Generation,Solar PV,0,12,Eastern Power Networks (EPN),EPN-S0000001U1051,1U1051,Connected,EPN-S0000000H1064,B22 KENNINGHALL PRIMARY,,,"52.4320340637452, 0.940514481778766",Breckland District
13,Generation,Solar PV,0,56,Eastern Power Networks (EPN),EPN-S0000004U0136,4U0136,Connected,EPN-S0000000H4020,E72 LANDBEACH PRIMARY,,,"52.2651673602294, 0.188944816054742",South Cambridgeshire District
9,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000003U2572,3U2572,Connected,EPN-S0000000H3020,J41 PARSONS HEATH PRIMARY,,,"51.901320547063, 0.926347272089912",Colchester District (B)
7,Generation,Solar PV,0,22,Eastern Power Networks (EPN),EPN-R00000000H37E-000-219Z,5R3434,Connected,EPN-S0000000H5032,H37 HALESWORTH PRIMARY,,,"52.3827754960271, 1.56593131232768",East Suffolk District
7,Generation,Solar PV,0,24,Eastern Power Networks (EPN),EPN-S0000008U7833,8U7833,Connected,EPN-S0000000F8081,K39 STANMORE GRID,,,"51.596229137069, -0.300276896635143",Harrow London Boro
9,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000005U1387,5U1387,Connected,EPN-S0000000H5019,H23 LEISTON PRIMARY,,,"52.2107390118598, 1.57520544826932",East Suffolk District
6,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000007U5626,7U5626,Connected,EPN-S0000000H7043,H30 GRAYS PRIMARY,,,"51.4941024811863, 0.326732072012092",Thurrock (B)
9,Generation,Solar PV,0,27,Eastern Power Networks (EPN),EPN-S0000005U3516,5U3516,Connected,EPN-S0000000H5038,L24 WEST BECKHAM PRIMARY,,,"52.9371043116292, 1.204582145929",North Norfolk District
9,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000007U0812,7U0812,Connected,EPN-S0000000H7141,C29 CHALVEDON PRIMARY,,,"51.5830977181317, 0.50616200271188",Basildon District (B)
23,Generation,Solar PV,0,72,Eastern Power Networks (EPN),EPN-S0000003U2247,3U2247,Connected,EPN-S0000000F3044,J32 COLCHESTER GRID,,,"51.8791019797322, 0.901727021289545",Colchester District (B)
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000003U0238,3U0238,Connected,EPN-S0000000H3014,A16 BRAINTREE DEPOT PRIMARY,,,"51.8818594847926, 0.572019150714125",Braintree District
9,Generation,Solar PV,0,30,Eastern Power Networks (EPN),EPN-S0000008U5553,8U5553,Connected,EPN-S0000000H8033,F49 HEMEL EAST PRIMARY,,,"51.7521969970786, -0.449922526407767",Dacorum District (B)
10,Generation,Solar PV,0,39,Eastern Power Networks (EPN),EPN-S0000004U1946,4U1946,Connected,EPN-S0000000F4039,B64 EDISON RD GRID,,,"52.1575338183983, -0.432073719328534",Bedford (B)
30,Generation,Solar PV,0,94,Eastern Power Networks (EPN),EPN-S0000001U0965,1U0965,Connected,EPN-S0000000H1036,B19 HAVERHILL PRIMARY,,,"52.0779452225517, 0.430894873431693",West Suffolk District
7,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-S0000003U1059,3U1059,Connected,EPN-S0000000H3062,A40 MALDON WICK PRIMARY,,,"51.6707828869988, 0.669353487723119",Maldon District (B)
29,Generation,Solar PV,0,140,Eastern Power Networks (EPN),EPN-S0000008U0936,8U0936,Connected,EPN-S0000000H8123,A17 LEWSEY PRIMARY,,,"51.8996753209453, -0.495108087784642",Luton (B)
15,Generation,Solar PV,0,59,Eastern Power Networks (EPN),EPN-S0000003U1052,3U1052,Connected,EPN-S0000000H3062,A40 MALDON WICK PRIMARY,,,"51.6721461011937, 0.667965799992698",Maldon District (B)
34,Generation,Solar PV,0,141,Eastern Power Networks (EPN),EPN-S0000006U0502,6U0502,Connected,EPN-S0000000F6057,C09 PETERBOROUGH EAST 33-11,,,"52.5928295603915, -0.232644535000087",City of Peterborough (B)
7,Generation,Solar PV,0,34,Eastern Power Networks (EPN),EPN-R00000000B24D-000-379Z,1R0081,Connected,EPN-S0000000H1073,B24 RICKINGHALL PRIMARY,,,"52.3022137058987, 1.04604556284393",Mid Suffolk District
13,Generation,Solar PV,0,50,Eastern Power Networks (EPN),EPN-S0000003U2427,3U2427,Connected,EPN-S0000000H3005,J40 LEXDEN PRIMARY,,,"51.891308347096, 0.866792171464782",Colchester District (B)
14,Generation,Solar PV,0,38,Eastern Power Networks (EPN),EPN-S0000008U6358,8U6358,Connected,EPN-S0000000H7088,J18 CENTRAL HARPENDEN PRI,,,"51.8064700002044, -0.339516439919152",St. Albans District (B)
15,Generation,Solar PV,0,52,Eastern Power Networks (EPN),EPN-S0000003U0091,3U0091,Connected,EPN-S0000000H3069,A36 LAKE & ELLIOT PRIMARY,,,"51.8746454536263, 0.539082050986445",Braintree District
14,Generation,Solar PV,0,56,Eastern Power Networks (EPN),EPN-S0000008U5111,8U5111,Connected,EPN-S0000000H8022,F26 WADDESDON PRIMARY,,,"51.8000198453511, -1.07214832874134",Buckinghamshire
6,Generation,Solar PV,0,13,Eastern Power Networks (EPN),EPN-S0000005U2452,5U2452,Connected,EPN-S0000000H5006,L10 HORSFORD PRIMARY,,,"52.6873664512121, 1.21304609738449",Broadland District
6,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-R00000000G07C-000-108Z,6R3038,Connected,EPN-S0000000H6006,G07 HUNSTANTON PRIMARY,,,"52.9048852847185, 0.488737687034202",King's Lynn and West Norfolk District (B)
18,Generation,Solar PV,0,53,Eastern Power Networks (EPN),EPN-S0000001U1308,1U1308,Connected,EPN-S0000000H1019,B26 SUDBURY PRIMARY,,,"52.041946439821, 0.734653565136191",Babergh District
9,Generation,Solar PV,0,39,Eastern Power Networks (EPN),EPN-S0000004U2915,4U2915,Connected,EPN-S0000000H4036,E10 BOURN PRIMARY,,,"52.2065158449881, -0.0264307720633386",South Cambridgeshire District
9,Generation,Solar PV,0,160,Eastern Power Networks (EPN),EPN-S0000001U1405,1U1405,Connected,EPN-S0000000H1019,B26 SUDBURY PRIMARY,,,"52.0447039190304, 0.74638985176569",Babergh District
9,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000003U3305,3U3305,Connected,EPN-S0000000H3010,J52 VALLEYBRIDGE RD PRIMARY,,,"51.7947467984073, 1.16184551698762",Tendring District
11,Generation,Solar PV,0,40,Eastern Power Networks (EPN),EPN-S0000005U1894,5U1894,Connected,EPN-S0000000H5075,L03 CRINGLEFORD PRIMARY,,,"52.6009862082543, 1.18955289352344",South Norfolk District
22,Generation,Solar PV,0,71,Eastern Power Networks (EPN),EPN-S0000005U3321,5U3321,Connected,EPN-S0000000H5037,L21 TUCKSWOOD PRIMARY,,,"52.6226164885277, 1.27407508014531",Norwich District (B)
8,Generation,Solar PV,0,29,Eastern Power Networks (EPN),EPN-S0000005U2741,5U2741,Connected,EPN-S0000000H5057,L12 MOUSEHOLD PRIMARY,,,"52.6376301150119, 1.3339449970446",Broadland District
11,Generation,Solar PV,0,53,Eastern Power Networks (EPN),EPN-S0000007U7350,7U7350,Connected,EPN-S0000000H7001,K26 ROMFORD NORTH PRIMARY,,,"51.5897492727046, 0.166853048012951",Havering London Boro
13,Generation,Solar PV,0,43,Eastern Power Networks (EPN),EPN-S0000008U2792,8U2792,Connected,EPN-S0000000H8161,F11 LYE GRN PRIMARY,,,"51.7234842867664, -0.538435515483171",Dacorum District (B)
14,Generation,Solar PV,0,34,Eastern Power Networks (EPN),EPN-S0000005U2202,5U2202,Connected,EPN-S0000000H5050,L06 EARLHAM WEST PRIMARY,,,"52.6246864131303, 1.26072048901762",Norwich District (B)
22,Generation,Solar PV,0,62,Eastern Power Networks (EPN),EPN-S0000006U0277,6U0277,Connected,EPN-S0000000F6037,C04 PETERBOROUGH NORTH GRID,,,"52.5751828545287, -0.349400511074092",City of Peterborough (B)
11,Generation,Solar PV,0,30,Eastern Power Networks (EPN),EPN-S0000003U2383,3U2383,Connected,EPN-S0000000H3016,J39 BRAISWICK PRIMARY,,,"51.8969194968926, 0.894806677731483",Colchester District (B)
14,Generation,Solar PV,0,45,Eastern Power Networks (EPN),EPN-S0000007U5846,7U5846,Connected,EPN-S0000000H7153,H32 LITTLE BELHUS PRIMARY,,,"51.5160795847445, 0.284339347226332",Thurrock (B)
6,Generation,Solar PV,0,18,Eastern Power Networks (EPN),EPN-S0000007U6714,7U6714,Connected,EPN-S0000000H7067,K18 HAROLD WOOD PRIMARY,,,"51.6051435902185, 0.233386054984656",Havering London Boro
8,Generation,Solar PV,0,43,Eastern Power Networks (EPN),EPN-R00000000L17E-000-087Z,5R6042,Connected,EPN-S0000000H5070,L17 SPROWSTON PRIMARY,,,"52.6740908460487, 1.37147470151027",Broadland District
24,Generation,Solar PV,0,88,Eastern Power Networks (EPN),EPN-S0000001U2596,1U2596,Connected,EPN-S0000000H1065,D28 LANGLEY AV PRIMARY,,,"51.9714281777005, 1.35431956944361",East Suffolk District
12,Generation,Solar PV,0,49,Eastern Power Networks (EPN),EPN-S0000004U2776,4U2776,Connected,EPN-S0000000H4078,E08 MILTON RD PRIMARY,,,"52.2188841118885, 0.115882677073806",Cambridge District (B)
11,Generation,Solar PV,0,48,Eastern Power Networks (EPN),EPN-S0000005U1895,5U1895,Connected,EPN-S0000000H5075,L03 CRINGLEFORD PRIMARY,,,"52.6115791148808, 1.23761577165775",South Norfolk District
7,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-S0000007U7606,7U7606,Connected,EPN-S0000000H7150,K30 ROMFORD PRIMARY,,,"51.5599191592917, 0.196561111555453",Havering London Boro
131,Generation,Solar PV,0,394,Eastern Power Networks (EPN),EPN-S0000001U2218,1U2218,Connected,EPN-S0000000H1024,D18 IPSWICH GRID,,,"52.0518089197806, 1.12783498630297",Ipswich District (B)
7,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000007U7635,7U7635,Connected,EPN-S0000000H7150,K30 ROMFORD PRIMARY,,,"51.5628533695343, 0.196070161181199",Havering London Boro
10,Generation,Solar PV,0,45,Eastern Power Networks (EPN),EPN-S0000004U2922,4U2922,Connected,EPN-S0000000H4054,E11 STOREYS WAY PRIMARY,,,"52.1819507941346, 0.0546228021332899",South Cambridgeshire District
6,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000007U2026,7U2026,Connected,EPN-S0000000H7037,C41 WICKFORD PRIMARY,,,"51.6081863437293, 0.520829864617404",Basildon District (B)
6,Generation,Solar PV,0,19,Eastern Power Networks (EPN),EPN-S0000001U1745,1U1745,Connected,EPN-S0000000H1018,B55 STOWMARKET GRID,,,"52.1757547550617, 1.00598990092517",Mid Suffolk District
7,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000004U1849,4U1849,Connected,EPN-S0000000H4046,B62 ST IVES PRIMARY,,,"52.3400509897843, -0.0801807437545913",Huntingdonshire District
